PassengerID,Survived
892,1
893,0
894,0
895,0
896,1
897,1
898,0
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,1
907,0
908,0
909,0
910,1
911,0
912,1
913,1
914,1
915,0
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,1
924,1
925,0
926,1
927,0
928,1
929,0
930,1
931,0
932,1
933,1
934,1
935,0
936,0
937,0
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,1
953,0
954,1
955,1
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,1
964,1
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,0
973,0
974,1
975,1
976,0
977,1
978,1
979,0
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,1
988,0
989,0
990,0
991,0
992,1
993,1
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,0
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,0
1057,1
1058,1
1059,1
1060,1
1061,0
1062,1
1063,1
1064,1
1065,0
1066,1
1067,0
1068,0
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,0
1099,0
1100,0
1101,0
1102,1
1103,0
1104,0
1105,1
1106,0
1107,1
1108,1
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,1
1116,1
1117,0
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,1
1132,1
1133,0
1134,1
1135,0
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,1
1144,1
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,1
1152,0
1153,1
1154,1
1155,1
1156,1
1157,1
1158,0
1159,1
1160,1
1161,1
1162,0
1163,1
1164,0
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1192,1
1193,0
1194,1
1195,1
1196,0
1197,1
1198,1
1199,0
1200,0
1201,1
1202,0
1203,1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,1
1210,0
1211,1
1212,0
1213,1
1214,0
1215,0
1216,0
1217,1
1218,1
1219,1
1220,0
1221,0
1222,1
1223,1
1224,1
1225,0
1226,1
1227,0
1228,0
1229,1
1230,1
1231,1
1232,0
1233,0
1234,0
1235,0
1236,1
1237,1
1238,0
1239,0
1240,0
1241,1
1242,0
1243,1
1244,1
1245,1
1246,0
1247,1
1248,1
1249,1
1250,0
1251,1
1252,0
1253,1
1254,0
1255,0
1256,1
1257,0
1258,0
1259,1
1260,1
1261,1
1262,1
1263,0
1264,0
1265,1
1266,1
1267,1
1268,1
1269,1
1270,0
1271,1
1272,1
1273,0
1274,1
1275,1
1276,0
1277,0
1278,1
1279,1
1280,0
1281,0
1282,1
1283,0
1284,0
1285,1
1286,0
1287,1
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,1
1296,0
1297,1
1298,1
1299,0
1300,0
1301,1
1302,0
1303,1
1304,1
1305,0
1306,0
1307,1
1308,1
1309,0
